"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"427",2020-12-08,"Hertha","Ein Frankfurt",1,0,"H"
"428",2020-12-08,"Leverkusen","Augsburg",1,0,"H"
"429",2020-12-08,"Schalke 04","Dortmund",1,2,"A"
"430",2020-12-08,"Wolfsburg","Hoffenheim",2,2,"D"
"431",2020-12-09,"Mainz","Hannover",1,1,"D"
"432",2020-12-09,"M'gladbach","Stuttgart",3,0,"H"
"433",2020-12-14,"Nurnberg","Wolfsburg",0,2,"A"
"434",2020-12-15,"Augsburg","Schalke 04",1,1,"D"
"435",2020-12-15,"Dortmund","Werder Bremen",2,1,"H"
"436",2020-12-15,"Fortuna Dusseldorf","Freiburg",2,0,"H"
"437",2020-12-15,"Hannover","Bayern Munich",0,4,"A"
"438",2020-12-15,"Hoffenheim","M'gladbach",0,0,"D"
"439",2020-12-15,"Stuttgart","Hertha",2,1,"H"
"440",2020-12-16,"Ein Frankfurt","Leverkusen",2,1,"H"
"441",2020-12-16,"RB Leipzig","Mainz",4,1,"H"
"442",2020-12-18,"Fortuna Dusseldorf","Dortmund",2,1,"H"
"443",2020-12-18,"Hertha","Augsburg",2,2,"D"
"444",2020-12-18,"M'gladbach","Nurnberg",2,0,"H"
"445",2020-12-18,"Wolfsburg","Stuttgart",2,0,"H"
"446",2020-12-19,"Bayern Munich","RB Leipzig",1,0,"H"
"447",2020-12-19,"Freiburg","Hannover",1,1,"D"
"448",2020-12-19,"Mainz","Ein Frankfurt",2,2,"D"
"449",2020-12-19,"Schalke 04","Leverkusen",1,2,"A"
"450",2020-12-19,"Werder Bremen","Hoffenheim",1,1,"D"
"451",2020-12-21,"Dortmund","M'gladbach",2,1,"H"
"452",2020-12-22,"Ein Frankfurt","Bayern Munich",0,3,"A"
"453",2020-12-22,"Hannover","Fortuna Dusseldorf",0,1,"A"
"454",2020-12-22,"Leverkusen","Hertha",3,1,"H"
"455",2020-12-22,"Nurnberg","Freiburg",0,1,"A"
"456",2020-12-22,"RB Leipzig","Werder Bremen",3,2,"H"
"457",2020-12-22,"Stuttgart","Schalke 04",1,3,"A"
"458",2020-12-23,"Augsburg","Wolfsburg",2,3,"A"
"459",2020-12-23,"Hoffenheim","Mainz",1,1,"D"
"460",2020-01-18,"Hoffenheim","Bayern Munich",1,3,"A"
"461",2020-01-19,"Augsburg","Fortuna Dusseldorf",1,2,"A"
"462",2020-01-19,"Ein Frankfurt","Freiburg",3,1,"H"
"463",2020-01-19,"Hannover","Werder Bremen",0,1,"A"
"464",2020-01-19,"Leverkusen","M'gladbach",0,1,"A"
"465",2020-01-19,"RB Leipzig","Dortmund",0,1,"A"
"466",2020-01-19,"Stuttgart","Mainz",2,3,"A"
"467",2020-01-20,"Nurnberg","Hertha",1,3,"A"
"468",2020-01-20,"Schalke 04","Wolfsburg",2,1,"H"
"469",2020-01-25,"Hertha","Schalke 04",2,2,"D"
"470",2020-01-26,"Dortmund","Hannover",5,1,"H"
"471",2020-01-26,"Freiburg","Hoffenheim",2,4,"A"
"472",2020-01-26,"Mainz","Nurnberg",2,1,"H"
"473",2020-01-26,"M'gladbach","Augsburg",2,0,"H"
"474",2020-01-26,"Werder Bremen","Ein Frankfurt",2,2,"D"
"475",2020-01-26,"Wolfsburg","Leverkusen",0,3,"A"
"476",2020-01-27,"Bayern Munich","Stuttgart",4,1,"H"
"477",2020-01-27,"Fortuna Dusseldorf","RB Leipzig",0,4,"A"
"478",2020-02-01,"Hannover","RB Leipzig",0,3,"A"
"479",2020-02-02,"Ein Frankfurt","Dortmund",1,1,"D"
"480",2020-02-02,"Hertha","Wolfsburg",0,1,"A"
"481",2020-02-02,"Hoffenheim","Fortuna Dusseldorf",1,1,"D"
"482",2020-02-02,"Leverkusen","Bayern Munich",3,1,"H"
"483",2020-02-02,"Nurnberg","Werder Bremen",1,1,"D"
"484",2020-02-02,"Schalke 04","M'gladbach",0,2,"A"
"485",2020-02-03,"Augsburg","Mainz",3,0,"H"
"486",2020-02-03,"Stuttgart","Freiburg",2,2,"D"
"487",2020-02-08,"Mainz","Leverkusen",1,5,"A"
"488",2020-02-09,"Bayern Munich","Schalke 04",3,1,"H"
"489",2020-02-09,"Dortmund","Hoffenheim",3,3,"D"
"490",2020-02-09,"Freiburg","Wolfsburg",3,3,"D"
"491",2020-02-09,"Hannover","Nurnberg",2,0,"H"
"492",2020-02-09,"M'gladbach","Hertha",0,3,"A"
"493",2020-02-09,"RB Leipzig","Ein Frankfurt",0,0,"D"
"494",2020-02-10,"Fortuna Dusseldorf","Stuttgart",3,0,"H"
"495",2020-02-10,"Werder Bremen","Augsburg",4,0,"H"
"496",2020-02-15,"Augsburg","Bayern Munich",2,3,"A"
"497",2020-02-16,"Hertha","Werder Bremen",1,1,"D"
"498",2020-02-16,"Hoffenheim","Hannover",3,0,"H"
"499",2020-02-16,"Schalke 04","Freiburg",0,0,"D"
"500",2020-02-16,"Stuttgart","RB Leipzig",1,3,"A"
"501",2020-02-16,"Wolfsburg","Mainz",3,0,"H"
"502",2020-02-17,"Ein Frankfurt","M'gladbach",1,1,"D"
"503",2020-02-17,"Leverkusen","Fortuna Dusseldorf",2,0,"H"
"504",2020-02-18,"Nurnberg","Dortmund",0,0,"D"
"505",2020-02-22,"Werder Bremen","Stuttgart",1,1,"D"
"506",2020-02-23,"Bayern Munich","Hertha",1,0,"H"
"507",2020-02-23,"Fortuna Dusseldorf","Nurnberg",2,1,"H"
"508",2020-02-23,"Freiburg","Augsburg",5,1,"H"
"509",2020-02-23,"Mainz","Schalke 04",3,0,"H"
"510",2020-02-23,"M'gladbach","Wolfsburg",0,3,"A"
"511",2020-02-24,"Dortmund","Leverkusen",3,2,"H"
"512",2020-02-24,"Hannover","Ein Frankfurt",0,3,"A"
"513",2020-02-25,"RB Leipzig","Hoffenheim",1,1,"D"
"514",2020-03-01,"Augsburg","Dortmund",2,1,"H"
"515",2020-03-02,"Ein Frankfurt","Hoffenheim",3,2,"H"
"516",2020-03-02,"Hertha","Mainz",2,1,"H"
"517",2020-03-02,"Leverkusen","Freiburg",2,0,"H"
"518",2020-03-02,"M'gladbach","Bayern Munich",1,5,"A"
"519",2020-03-02,"Nurnberg","RB Leipzig",0,1,"A"
"520",2020-03-02,"Schalke 04","Fortuna Dusseldorf",0,4,"A"
"521",2020-03-03,"Stuttgart","Hannover",5,1,"H"
"522",2020-03-03,"Wolfsburg","Werder Bremen",1,1,"D"
"523",2020-03-08,"Werder Bremen","Schalke 04",4,2,"H"
"524",2020-03-09,"Bayern Munich","Wolfsburg",6,0,"H"
"525",2020-03-09,"Dortmund","Stuttgart",3,1,"H"
"526",2020-03-09,"Freiburg","Hertha",2,1,"H"
"527",2020-03-09,"Mainz","M'gladbach",0,1,"A"
"528",2020-03-09,"RB Leipzig","Augsburg",0,0,"D"
"529",2020-03-10,"Hannover","Leverkusen",2,3,"A"
"530",2020-03-10,"Hoffenheim","Nurnberg",2,1,"H"
"531",2020-03-11,"Fortuna Dusseldorf","Ein Frankfurt",0,3,"A"
"532",2020-03-15,"M'gladbach","Freiburg",1,1,"D"
"533",2020-03-16,"Augsburg","Hannover",3,1,"H"
"534",2020-03-16,"Hertha","Dortmund",2,3,"A"
"535",2020-03-16,"Schalke 04","RB Leipzig",0,1,"A"
"536",2020-03-16,"Stuttgart","Hoffenheim",1,1,"D"
"537",2020-03-16,"Wolfsburg","Fortuna Dusseldorf",5,2,"H"
"538",2020-03-17,"Bayern Munich","Mainz",6,0,"H"
"539",2020-03-17,"Ein Frankfurt","Nurnberg",1,0,"H"
"540",2020-03-17,"Leverkusen","Werder Bremen",1,3,"A"
"541",2020-03-29,"Hoffenheim","Leverkusen",4,1,"H"
"542",2020-03-30,"Dortmund","Wolfsburg",2,0,"H"
"543",2020-03-30,"Fortuna Dusseldorf","M'gladbach",3,1,"H"
"544",2020-03-30,"Freiburg","Bayern Munich",1,1,"D"
"545",2020-03-30,"Nurnberg","Augsburg",3,0,"H"
"546",2020-03-30,"RB Leipzig","Hertha",5,0,"H"
"547",2020-03-30,"Werder Bremen","Mainz",3,1,"H"
"548",2020-03-31,"Ein Frankfurt","Stuttgart",3,0,"H"
"549",2020-03-31,"Hannover","Schalke 04",0,1,"A"
"550",2020-04-05,"Mainz","Freiburg",5,0,"H"
"551",2020-04-06,"Bayern Munich","Dortmund",5,0,"H"
"552",2020-04-06,"Hertha","Fortuna Dusseldorf",1,2,"A"
"553",2020-04-06,"Leverkusen","RB Leipzig",2,4,"A"
"554",2020-04-06,"Schalke 04","Ein Frankfurt",1,2,"A"
"555",2020-04-06,"Stuttgart","Nurnberg",1,1,"D"
"556",2020-04-06,"Wolfsburg","Hannover",3,1,"H"
"557",2020-04-07,"Augsburg","Hoffenheim",0,4,"A"
"558",2020-04-07,"M'gladbach","Werder Bremen",1,1,"D"
"559",2020-04-12,"Nurnberg","Schalke 04",1,1,"D"
"560",2020-04-13,"Dortmund","Mainz",2,1,"H"
"561",2020-04-13,"Hannover","M'gladbach",0,1,"A"
"562",2020-04-13,"RB Leipzig","Wolfsburg",2,0,"H"
"563",2020-04-13,"Stuttgart","Leverkusen",0,1,"A"
"564",2020-04-13,"Werder Bremen","Freiburg",2,1,"H"
"565",2020-04-14,"Ein Frankfurt","Augsburg",1,3,"A"
"566",2020-04-14,"Fortuna Dusseldorf","Bayern Munich",1,4,"A"
"567",2020-04-14,"Hoffenheim","Hertha",2,0,"H"
"568",2020-04-20,"Augsburg","Stuttgart",6,0,"H"
"569",2020-04-20,"Bayern Munich","Werder Bremen",1,0,"H"
"570",2020-04-20,"Leverkusen","Nurnberg",2,0,"H"
"571",2020-04-20,"Mainz","Fortuna Dusseldorf",3,1,"H"
"572",2020-04-20,"M'gladbach","RB Leipzig",1,2,"A"
"573",2020-04-20,"Schalke 04","Hoffenheim",2,5,"A"
"574",2020-04-21,"Freiburg","Dortmund",0,4,"A"
"575",2020-04-21,"Hertha","Hannover",0,0,"D"
"576",2020-04-22,"Wolfsburg","Ein Frankfurt",1,1,"D"
"577",2020-04-26,"Augsburg","Leverkusen",1,4,"A"
"578",2020-04-27,"Dortmund","Schalke 04",2,4,"A"
"579",2020-04-27,"Ein Frankfurt","Hertha",0,0,"D"
"580",2020-04-27,"Fortuna Dusseldorf","Werder Bremen",4,1,"H"
"581",2020-04-27,"Hannover","Mainz",1,0,"H"
"582",2020-04-27,"RB Leipzig","Freiburg",2,1,"H"
"583",2020-04-27,"Stuttgart","M'gladbach",1,0,"H"
"584",2020-04-28,"Hoffenheim","Wolfsburg",1,4,"A"
"585",2020-04-28,"Nurnberg","Bayern Munich",1,1,"D"
"586",2020-05-03,"Mainz","RB Leipzig",3,3,"D"
"587",2020-05-04,"Bayern Munich","Hannover",3,1,"H"
"588",2020-05-04,"Hertha","Stuttgart",3,1,"H"
"589",2020-05-04,"M'gladbach","Hoffenheim",2,2,"D"
"590",2020-05-04,"Werder Bremen","Dortmund",2,2,"D"
"591",2020-05-04,"Wolfsburg","Nurnberg",2,0,"H"
"592",2020-05-05,"Freiburg","Fortuna Dusseldorf",1,1,"D"
"593",2020-05-05,"Leverkusen","Ein Frankfurt",6,1,"H"
"594",2020-05-05,"Schalke 04","Augsburg",0,0,"D"
"595",2020-05-11,"Augsburg","Hertha",3,4,"A"
"596",2020-05-11,"Dortmund","Fortuna Dusseldorf",3,2,"H"
"597",2020-05-11,"Hannover","Freiburg",3,0,"H"
"598",2020-05-11,"Hoffenheim","Werder Bremen",0,1,"A"
"599",2020-05-11,"Leverkusen","Schalke 04",1,1,"D"
"600",2020-05-11,"Nurnberg","M'gladbach",0,4,"A"
"601",2020-05-11,"RB Leipzig","Bayern Munich",0,0,"D"
"602",2020-05-11,"Stuttgart","Wolfsburg",3,0,"H"
"603",2020-05-12,"Ein Frankfurt","Mainz",0,2,"A"
"604",2020-05-18,"Bayern Munich","Ein Frankfurt",5,1,"H"
"605",2020-05-18,"Fortuna Dusseldorf","Hannover",2,1,"H"
"606",2020-05-18,"Freiburg","Nurnberg",5,1,"H"
"607",2020-05-18,"Hertha","Leverkusen",1,5,"A"
"608",2020-05-18,"Mainz","Hoffenheim",4,2,"H"
"609",2020-05-18,"M'gladbach","Dortmund",0,2,"A"
"610",2020-05-18,"Schalke 04","Stuttgart",0,0,"D"
"611",2020-05-18,"Werder Bremen","RB Leipzig",2,1,"H"
"612",2020-05-18,"Wolfsburg","Augsburg",8,1,"H"
"613",2020-08-16,"Bayern Munich","Hertha",2,2,"D"
"614",2020-08-17,"Dortmund","Augsburg",5,1,"H"
"615",2020-08-17,"Freiburg","Mainz",3,0,"H"
"616",2020-08-17,"Leverkusen","Paderborn",3,2,"H"
"617",2020-08-17,"Werder Bremen","Fortuna Dusseldorf",1,3,"A"
"618",2020-08-17,"Wolfsburg","FC Koln",2,1,"H"
"619",2020-08-17,"M'gladbach","Schalke 04",0,0,"D"
"620",2020-08-18,"Ein Frankfurt","Hoffenheim",1,0,"H"
"621",2020-08-18,"Union Berlin","RB Leipzig",0,4,"A"
"622",2020-08-23,"FC Koln","Dortmund",1,3,"A"
"623",2020-08-24,"Augsburg","Union Berlin",1,1,"D"
"624",2020-08-24,"Fortuna Dusseldorf","Leverkusen",1,3,"A"
"625",2020-08-24,"Hoffenheim","Werder Bremen",3,2,"H"
"626",2020-08-24,"Mainz","M'gladbach",1,3,"A"
"627",2020-08-24,"Paderborn","Freiburg",1,3,"A"
"628",2020-08-24,"Schalke 04","Bayern Munich",0,3,"A"
"629",2020-08-25,"RB Leipzig","Ein Frankfurt",2,1,"H"
"630",2020-08-25,"Hertha","Wolfsburg",0,3,"A"
"631",2020-08-30,"M'gladbach","RB Leipzig",1,3,"A"
"632",2020-08-31,"Bayern Munich","Mainz",6,1,"H"
"633",2020-08-31,"Freiburg","FC Koln",1,2,"A"
"634",2020-08-31,"Leverkusen","Hoffenheim",0,0,"D"
"635",2020-08-31,"Schalke 04","Hertha",3,0,"H"
"636",2020-08-31,"Wolfsburg","Paderborn",1,1,"D"
"637",2020-08-31,"Union Berlin","Dortmund",3,1,"H"
"638",2020-09-01,"Werder Bremen","Augsburg",3,2,"H"
"639",2020-09-01,"Ein Frankfurt","Fortuna Dusseldorf",2,1,"H"
"640",2020-09-13,"Fortuna Dusseldorf","Wolfsburg",1,1,"D"
"641",2020-09-14,"Augsburg","Ein Frankfurt",2,1,"H"
"642",2020-09-14,"Dortmund","Leverkusen",4,0,"H"
"643",2020-09-14,"FC Koln","M'gladbach",0,1,"A"
"644",2020-09-14,"Mainz","Hertha",2,1,"H"
"645",2020-09-14,"Union Berlin","Werder Bremen",1,2,"A"
"646",2020-09-14,"RB Leipzig","Bayern Munich",1,1,"D"
"647",2020-09-15,"Hoffenheim","Freiburg",0,3,"A"
"648",2020-09-15,"Paderborn","Schalke 04",1,5,"A"
"649",2020-09-20,"Schalke 04","Mainz",2,1,"H"
"650",2020-09-21,"Bayern Munich","FC Koln",4,0,"H"
"651",2020-09-21,"Freiburg","Augsburg",1,1,"D"
"652",2020-09-21,"Hertha","Paderborn",2,1,"H"
"653",2020-09-21,"Leverkusen","Union Berlin",2,0,"H"
"654",2020-09-21,"Werder Bremen","RB Leipzig",0,3,"A"
"655",2020-09-22,"M'gladbach","Fortuna Dusseldorf",2,1,"H"
"656",2020-09-22,"Ein Frankfurt","Dortmund",2,2,"D"
"657",2020-09-23,"Wolfsburg","Hoffenheim",1,1,"D"
"658",2020-09-27,"Union Berlin","Ein Frankfurt",1,2,"A"
"659",2020-09-28,"Augsburg","Leverkusen",0,3,"A"
"660",2020-09-28,"Hoffenheim","M'gladbach",0,3,"A"
"661",2020-09-28,"Mainz","Wolfsburg",0,1,"A"
"662",2020-09-28,"Paderborn","Bayern Munich",2,3,"A"
"663",2020-09-28,"RB Leipzig","Schalke 04",1,3,"A"
"664",2020-09-28,"Dortmund","Werder Bremen",2,2,"D"
"665",2020-09-29,"Fortuna Dusseldorf","Freiburg",1,2,"A"
"666",2020-09-29,"FC Koln","Hertha",0,4,"A"
"667",2020-10-04,"Hertha","Fortuna Dusseldorf",3,1,"H"
"668",2020-10-05,"Bayern Munich","Hoffenheim",1,2,"A"
"669",2020-10-05,"Freiburg","Dortmund",2,2,"D"
"670",2020-10-05,"Leverkusen","RB Leipzig",1,1,"D"
"671",2020-10-05,"Paderborn","Mainz",1,2,"A"
"672",2020-10-05,"Schalke 04","FC Koln",1,1,"D"
"673",2020-10-06,"M'gladbach","Augsburg",5,1,"H"
"674",2020-10-06,"Wolfsburg","Union Berlin",1,0,"H"
"675",2020-10-06,"Ein Frankfurt","Werder Bremen",2,2,"D"
"676",2020-10-18,"Ein Frankfurt","Leverkusen",3,0,"H"
"677",2020-10-19,"Augsburg","Bayern Munich",2,2,"D"
"678",2020-10-19,"Fortuna Dusseldorf","Mainz",1,0,"H"
"679",2020-10-19,"RB Leipzig","Wolfsburg",1,1,"D"
"680",2020-10-19,"Union Berlin","Freiburg",2,0,"H"
"681",2020-10-19,"Werder Bremen","Hertha",1,1,"D"
"682",2020-10-19,"Dortmund","M'gladbach",1,0,"H"
"683",2020-10-20,"FC Koln","Paderborn",3,0,"H"
"684",2020-10-20,"Hoffenheim","Schalke 04",2,0,"H"
"685",2020-10-25,"Mainz","FC Koln",3,1,"H"
"686",2020-10-26,"Bayern Munich","Union Berlin",2,1,"H"
"687",2020-10-26,"Freiburg","RB Leipzig",2,1,"H"
"688",2020-10-26,"Hertha","Hoffenheim",2,3,"A"
"689",2020-10-26,"Paderborn","Fortuna Dusseldorf",2,0,"H"
"690",2020-10-26,"Schalke 04","Dortmund",0,0,"D"
"691",2020-10-26,"Leverkusen","Werder Bremen",2,2,"D"
"692",2020-10-27,"Wolfsburg","Augsburg",0,0,"D"
"693",2020-10-27,"M'gladbach","Ein Frankfurt",4,2,"H"
"694",2020-11-01,"Hoffenheim","Paderborn",3,0,"H"
"695",2020-11-02,"Dortmund","Wolfsburg",3,0,"H"
"696",2020-11-02,"Ein Frankfurt","Bayern Munich",5,1,"H"
"697",2020-11-02,"Leverkusen","M'gladbach",1,2,"A"
"698",2020-11-02,"RB Leipzig","Mainz",8,0,"H"
"699",2020-11-02,"Werder Bremen","Freiburg",2,2,"D"
"700",2020-11-02,"Union Berlin","Hertha",1,0,"H"
"701",2020-11-03,"Fortuna Dusseldorf","FC Koln",2,0,"H"
"702",2020-11-03,"Augsburg","Schalke 04",2,3,"A"
"703",2020-11-08,"FC Koln","Hoffenheim",1,2,"A"
"704",2020-11-09,"Hertha","RB Leipzig",2,4,"A"
"705",2020-11-09,"Mainz","Union Berlin",2,3,"A"
"706",2020-11-09,"Paderborn","Augsburg",0,1,"A"
"707",2020-11-09,"Schalke 04","Fortuna Dusseldorf",3,3,"D"
"708",2020-11-09,"Bayern Munich","Dortmund",4,0,"H"
"709",2020-11-10,"M'gladbach","Werder Bremen",3,1,"H"
"710",2020-11-10,"Wolfsburg","Leverkusen",0,2,"A"
"711",2020-11-10,"Freiburg","Ein Frankfurt",1,0,"H"
"712",2020-11-22,"Dortmund","Paderborn",3,3,"D"
"713",2020-11-23,"Ein Frankfurt","Wolfsburg",0,2,"A"
"714",2020-11-23,"Fortuna Dusseldorf","Bayern Munich",0,4,"A"
"715",2020-11-23,"Leverkusen","Freiburg",1,1,"D"
"716",2020-11-23,"Union Berlin","M'gladbach",2,0,"H"
"717",2020-11-23,"Werder Bremen","Schalke 04",1,2,"A"
"718",2020-11-23,"RB Leipzig","FC Koln",4,1,"H"
"719",2020-11-24,"Augsburg","Hertha",4,0,"H"
"720",2020-11-24,"Hoffenheim","Mainz",1,5,"A"
"721",2020-11-29,"Schalke 04","Union Berlin",2,1,"H"
"722",2020-11-30,"FC Koln","Augsburg",1,1,"D"
"723",2020-11-30,"Hertha","Dortmund",1,2,"A"
"724",2020-11-30,"Hoffenheim","Fortuna Dusseldorf",1,1,"D"
"725",2020-11-30,"Paderborn","RB Leipzig",2,3,"A"
"726",2020-11-30,"Bayern Munich","Leverkusen",1,2,"A"
"727",2020-12-01,"M'gladbach","Freiburg",4,2,"H"
"728",2020-12-01,"Wolfsburg","Werder Bremen",2,3,"A"
"729",2020-12-02,"Mainz","Ein Frankfurt",2,1,"H"
"730",2020-12-06,"Ein Frankfurt","Hertha",2,2,"D"
"731",2020-12-07,"Augsburg","Mainz",2,1,"H"
"732",2020-12-07,"Dortmund","Fortuna Dusseldorf",5,0,"H"
"733",2020-12-07,"Freiburg","Wolfsburg",1,0,"H"
"734",2020-12-07,"M'gladbach","Bayern Munich",2,1,"H"
"735",2020-12-07,"RB Leipzig","Hoffenheim",3,1,"H"
"736",2020-12-07,"Leverkusen","Schalke 04",2,1,"H"
"737",2020-12-08,"Union Berlin","FC Koln",2,0,"H"
"738",2020-12-08,"Werder Bremen","Paderborn",0,1,"A"
"739",2020-12-13,"Hoffenheim","Augsburg",2,4,"A"
"740",2020-12-14,"Bayern Munich","Werder Bremen",6,1,"H"
"741",2020-12-14,"FC Koln","Leverkusen",2,0,"H"
"742",2020-12-14,"Hertha","Freiburg",1,0,"H"
"743",2020-12-14,"Mainz","Dortmund",0,4,"A"
"744",2020-12-14,"Paderborn","Union Berlin",1,1,"D"
"745",2020-12-14,"Fortuna Dusseldorf","RB Leipzig",0,3,"A"
"746",2020-12-15,"Wolfsburg","M'gladbach",2,1,"H"
"747",2020-12-15,"Schalke 04","Ein Frankfurt",1,0,"H"
"748",2020-12-17,"Werder Bremen","Mainz",0,5,"A"
"749",2020-12-17,"Augsburg","Fortuna Dusseldorf",3,0,"H"
"750",2020-12-17,"Dortmund","RB Leipzig",3,3,"D"
"751",2020-12-17,"Union Berlin","Hoffenheim",0,2,"A"
"752",2020-12-18,"Leverkusen","Hertha",0,1,"A"
"753",2020-12-18,"Ein Frankfurt","FC Koln",2,4,"A"
"754",2020-12-18,"Freiburg","Bayern Munich",1,3,"A"
"755",2020-12-18,"M'gladbach","Paderborn",2,0,"H"
"756",2020-12-18,"Wolfsburg","Schalke 04",1,1,"D"
"757",2020-12-20,"Hoffenheim","Dortmund",2,1,"H"
"758",2020-12-21,"Bayern Munich","Wolfsburg",2,0,"H"
"759",2020-12-21,"FC Koln","Werder Bremen",1,0,"H"
"760",2020-12-21,"Mainz","Leverkusen",0,1,"A"
"761",2020-12-21,"RB Leipzig","Augsburg",3,1,"H"
"762",2020-12-21,"Schalke 04","Freiburg",2,2,"D"
"763",2020-12-21,"Hertha","M'gladbach",0,0,"D"
"764",2020-12-22,"Fortuna Dusseldorf","Union Berlin",2,1,"H"
"765",2020-12-22,"Paderborn","Ein Frankfurt",2,1,"H"
"766",2020-01-17,"Schalke 04","M'gladbach",2,0,"H"
"767",2020-01-18,"Augsburg","Dortmund",3,5,"A"
"768",2020-01-18,"FC Koln","Wolfsburg",3,1,"H"
"769",2020-01-18,"Fortuna Dusseldorf","Werder Bremen",0,1,"A"
"770",2020-01-18,"Hoffenheim","Ein Frankfurt",1,2,"A"
"771",2020-01-18,"Mainz","Freiburg",1,2,"A"
"772",2020-01-18,"RB Leipzig","Union Berlin",3,1,"H"
"773",2020-01-19,"Hertha","Bayern Munich",0,4,"A"
"774",2020-01-19,"Paderborn","Leverkusen",1,4,"A"
"775",2020-01-24,"Dortmund","FC Koln",5,1,"H"
"776",2020-01-25,"Ein Frankfurt","RB Leipzig",2,0,"H"
"777",2020-01-25,"Freiburg","Paderborn",0,2,"A"
"778",2020-01-25,"M'gladbach","Mainz",3,1,"H"
"779",2020-01-25,"Union Berlin","Augsburg",2,0,"H"
"780",2020-01-25,"Wolfsburg","Hertha",1,2,"A"
"781",2020-01-25,"Bayern Munich","Schalke 04",5,0,"H"
"782",2020-01-26,"Werder Bremen","Hoffenheim",0,3,"A"
"783",2020-01-26,"Leverkusen","Fortuna Dusseldorf",3,0,"H"
"784",2020-01-31,"Hertha","Schalke 04",0,0,"D"
"785",2020-02-01,"Augsburg","Werder Bremen",2,1,"H"
"786",2020-02-01,"Dortmund","Union Berlin",5,0,"H"
"787",2020-02-01,"Fortuna Dusseldorf","Ein Frankfurt",1,1,"D"
"788",2020-02-01,"Hoffenheim","Leverkusen",2,1,"H"
"789",2020-02-01,"Mainz","Bayern Munich",1,3,"A"
"790",2020-02-01,"RB Leipzig","M'gladbach",2,2,"D"
"791",2020-02-02,"FC Koln","Freiburg",4,0,"H"
"792",2020-02-02,"Paderborn","Wolfsburg",2,4,"A"
"793",2020-02-07,"Ein Frankfurt","Augsburg",5,0,"H"
"794",2020-02-08,"Freiburg","Hoffenheim",1,0,"H"
"795",2020-02-08,"Hertha","Mainz",1,3,"A"
"796",2020-02-08,"Schalke 04","Paderborn",1,1,"D"
"797",2020-02-08,"Werder Bremen","Union Berlin",0,2,"A"
"798",2020-02-08,"Wolfsburg","Fortuna Dusseldorf",1,1,"D"
"799",2020-02-08,"Leverkusen","Dortmund",4,3,"H"
"800",2020-02-09,"Bayern Munich","RB Leipzig",0,0,"D"
"801",2020-02-14,"Dortmund","Ein Frankfurt",4,0,"H"
"802",2020-02-15,"Augsburg","Freiburg",1,1,"D"
"803",2020-02-15,"Hoffenheim","Wolfsburg",2,3,"A"
"804",2020-02-15,"Paderborn","Hertha",1,2,"A"
"805",2020-02-15,"RB Leipzig","Werder Bremen",3,0,"H"
"806",2020-02-15,"Union Berlin","Leverkusen",2,3,"A"
"807",2020-02-15,"Fortuna Dusseldorf","M'gladbach",1,4,"A"
"808",2020-02-16,"FC Koln","Bayern Munich",1,4,"A"
"809",2020-02-16,"Mainz","Schalke 04",0,0,"D"
"810",2020-02-21,"Bayern Munich","Paderborn",3,2,"H"
"811",2020-02-22,"Freiburg","Fortuna Dusseldorf",0,2,"A"
"812",2020-02-22,"Hertha","FC Koln",0,5,"A"
"813",2020-02-22,"M'gladbach","Hoffenheim",1,1,"D"
"814",2020-02-22,"Werder Bremen","Dortmund",0,2,"A"
"815",2020-02-22,"Schalke 04","RB Leipzig",0,5,"A"
"816",2020-02-23,"Leverkusen","Augsburg",2,0,"H"
"817",2020-02-23,"Wolfsburg","Mainz",4,0,"H"
"818",2020-02-24,"Ein Frankfurt","Union Berlin",1,2,"A"
"819",2020-02-28,"Fortuna Dusseldorf","Hertha",3,3,"D"
"820",2020-02-29,"Augsburg","M'gladbach",2,3,"A"
"821",2020-02-29,"Dortmund","Freiburg",1,0,"H"
"822",2020-02-29,"Hoffenheim","Bayern Munich",0,6,"A"
"823",2020-02-29,"Mainz","Paderborn",2,0,"H"
"824",2020-02-29,"FC Koln","Schalke 04",3,0,"H"
"825",2020-03-01,"Union Berlin","Wolfsburg",2,2,"D"
"826",2020-03-01,"RB Leipzig","Leverkusen",1,1,"D"
"827",2020-03-06,"Paderborn","FC Koln",1,2,"A"
"828",2020-03-07,"Freiburg","Union Berlin",3,1,"H"
"829",2020-03-07,"Hertha","Werder Bremen",2,2,"D"
"830",2020-03-07,"Leverkusen","Ein Frankfurt",4,0,"H"
"831",2020-03-07,"Schalke 04","Hoffenheim",1,1,"D"
"832",2020-03-07,"Wolfsburg","RB Leipzig",0,0,"D"
"833",2020-03-07,"M'gladbach","Dortmund",1,2,"A"
"834",2020-03-08,"Bayern Munich","Augsburg",2,0,"H"
"835",2020-03-08,"Mainz","Fortuna Dusseldorf",1,1,"D"
"836",2020-03-11,"M'gladbach","FC Koln",2,1,"H"
"837",2020-05-16,"Augsburg","Wolfsburg",1,2,"A"
"838",2020-05-16,"Dortmund","Schalke 04",4,0,"H"
"839",2020-05-16,"Fortuna Dusseldorf","Paderborn",0,0,"D"
"840",2020-05-16,"Hoffenheim","Hertha",0,3,"A"
"841",2020-05-16,"RB Leipzig","Freiburg",1,1,"D"
"842",2020-05-16,"Ein Frankfurt","M'gladbach",1,3,"A"
